Event ID,Event time,User name,Event name,Resource type,Resources,AWS access key,AWS region,Error code,Source IP address
bfa424ff-95ca-4c3b-a7c1-a08878437520,"2020-03-25, 01:34:09 AM",CloudTrail,SwitchRole,,,,us-east-1,,99.250.24.61
bf09aac4-6d13-4bb8-a401-4dc652a2b498,"2020-03-25, 01:33:12 AM",CloudTrail,StopLogging,CloudTrail Trail,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:us-east-1:545204034463:trail/Udacity_Trail""}]",,us-east-1,,99.250.24.61
10164717-f5bc-4c1e-8b71-81183f52f492,"2020-03-25, 01:29:14 AM",CloudTrail,PutBucketPolicy,S3 Bucket,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""udacity-cloudtrail-log""}]",,us-east-1,,99.250.24.61
56fec686-65d9-4c8b-8b81-94d163fd71a6,"2020-03-25, 01:29:14 AM",CloudTrail,CreateBucket,S3 Bucket,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""udacity-cloudtrail-log""}]",,us-east-1,,99.250.24.61
79d7b6e4-a8a8-4052-a104-06e87bdaa8ab,"2020-03-25, 01:29:14 AM",CloudTrail,PutEventSelectors,CloudTrail Trail,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:us-east-1:545204034463:trail/Udacity_Trail""},{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""Udacity_Trail""}]",,us-east-1,,99.250.24.61
8436fd1b-eb13-46c2-a277-db6867cf0ad2,"2020-03-25, 01:29:14 AM",CloudTrail,CreateTrail,CloudTrail Trail and 1 more,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:us-east-1:545204034463:trail/Udacity_Trail""},{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""Udacity_Trail""},{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""udacity-cloudtrail-log""}]",,us-east-1,,99.250.24.61
bc06cad4-9397-4592-88f5-16c4da8fe917,"2020-03-25, 01:29:14 AM",CloudTrail,StartLogging,CloudTrail Trail,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""Udacity_Trail""}]",,us-east-1,,99.250.24.61
c63532cc-e3ed-48bc-af8f-bd879d8fab47,"2020-03-25, 01:25:02 AM",CloudTrail,ConsoleLogin,,,,us-east-1,,99.250.24.61
9d2f0147-e4db-4fea-b9d0-e444875f8c49,"2020-03-25, 01:23:56 AM",Accountant,ConsoleLogin,,,,us-east-1,,99.250.24.61
d46c2438-da9c-4a48-a73c-458a398f60eb,"2020-03-25, 01:23:13 AM",root,CreateLoginProfile,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""}]",,us-east-1,,99.250.24.61
